,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,43,42,54,58,27,20,55,80,38,34,34,32
Inventory Days,321,375,541,,,,,,,,,515
Days Payable,41,50,215,,,,,,,,,417
Cash Conversion Cycle,323,367,380,58,27,20,55,80,38,34,34,131
Working Capital Days,8,1,9,-11,-57,-31,42,67,-3,-11,27,-3
ROCE %,50%,52%,57%,46%,45%,107%,72%,46%,54%,78%,64%,48%
