,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,43,45,46,80,96,96,97,97,105,165,165,165
Reserves,16,-214,"1,666","1,734","2,369","2,495","2,620","3,108","9,718","11,766","14,193","16,523"
Borrowings +,"11,927","11,289","10,347","5,888","5,015","4,388","3,903","3,230","4,007","3,958","6,052","6,402"
Other Liabilities +,"4,446","2,898","2,798","3,208","3,354","3,736","4,057","4,300","8,746","11,226","10,355","13,068"
Total Liabilities,"16,431","14,018","14,858","10,909","10,834","10,715","10,678","10,735","22,576","27,115","30,765","36,158"
Fixed Assets +,"9,780","7,552","6,863","6,609","6,342","6,345","6,181","5,855","8,646","9,961","13,254","14,813"
CWIP,157,144,70,29,144,29,15,58,525,773,"1,112","1,770"
Investments,18,14,393,404,439,454,449,456,626,970,"1,246","1,646"
Other Assets +,"6,476","6,308","7,532","3,868","3,909","3,887","4,033","4,365","12,779","15,411","15,152","17,929"
Total Assets,"16,431","14,018","14,858","10,909","10,834","10,715","10,678","10,735","22,576","27,115","30,765","36,158"
