,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"5,423","5,138","6,564","9,252","4,345"
Cash from Investing Activity +,"-2,224",-910,"-1,383","-10,090",-414
Cash from Financing Activity +,143,"-1,662","-1,579","-15,930",-63
Net Cash Flow,"3,342","2,566","3,602","-16,768","3,868"
