,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"14,525","14,382","13,154","16,461","21,115","16,356","4,977","10,592","41,107","35,734","18,103","29,200"
Cash from Investing Activity +,"8,580",894,"8,154",455,"-7,747","-7,896","1,033",182,"-25,715","-23,465","-4,486","-10,076"
Cash from Financing Activity +,"-25,350","-15,026","-19,587","-17,598","-13,564","-10,885","-4,791","-8,453","-13,441","-13,704","-13,899","-13,308"
Net Cash Flow,"-2,246",250,"1,721",-682,-196,"-2,426","1,219","2,321","1,951","-1,436",-282,"5,815"
