,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,27,27,53,53,53,53,53,53,53,53,53,53
Reserves,"2,937","3,469","4,240","5,304","5,872","6,904","7,257","9,242","11,675","12,714","13,518","14,916"
Borrowings +,18,27,42,36,63,106,39,5,4,4,3,4
Other Liabilities +,729,883,562,762,797,973,"1,183","1,471","1,628","1,654","1,886","1,959"
Total Liabilities,"3,710","4,405","4,898","6,155","6,785","8,036","8,531","10,771","13,360","14,425","15,460","16,932"
Fixed Assets +,"1,222","1,309","1,439","1,559","1,996","2,088","2,782","3,704","4,325","4,722","4,739","5,442"
CWIP,144,218,264,444,120,492,920,711,470,212,778,"1,022"
Investments,502,733,803,"1,631","1,889","1,946",971,0,72,77,82,65
Other Assets +,"1,842","2,145","2,392","2,521","2,780","3,511","3,858","6,356","8,493","9,414","9,861","10,403"
Total Assets,"3,710","4,405","4,898","6,155","6,785","8,036","8,531","10,771","13,360","14,425","15,460","16,932"
