,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,84.83%,84.83%,84.83%,84.83%,84.83%
FIIs +,0.70%,2.06%,3.29%,2.38%,2.26%
DIIs +,0.79%,0.97%,0.30%,0.66%,1.69%
Public +,13.68%,12.14%,11.57%,12.12%,11.21%
No. of Shareholders,"1,06,711","1,18,354","1,64,151","3,86,330","6,76,957"
