,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,723,723,656,"1,311","1,967","1,967","1,967","2,093","2,129","2,129","2,136","4,273"
Reserves,"18,717","21,839","27,138","29,508","34,652","36,798","34,565","51,462","49,776","51,393","73,499","77,112"
Borrowings +,"33,152","25,492","23,388","35,725","37,659","44,839","65,476","54,532","64,534","69,376","54,599","61,101"
Other Liabilities +,"35,868","38,268","35,241","42,541","46,078","53,322","48,852","52,891","71,089","65,210","72,184","75,898"
Total Liabilities,"88,460","86,322","86,422","109,086","120,356","136,926","150,860","160,978","187,529","188,109","202,418","218,382"
Fixed Assets +,"27,580","29,109","25,358","33,684","45,539","49,315","60,175","64,098","83,901","86,675","86,798","101,775"
CWIP,"9,372","15,787","17,459","16,834","9,875","13,654","17,757","17,037","15,433","16,249","20,204","13,240"
Investments,"6,985","7,712","9,401","21,327","23,725","24,907","27,029","26,768","23,616","26,778","26,631","26,531"
Other Assets +,"44,523","33,714","34,203","37,241","41,217","49,050","45,900","53,075","64,578","58,406","68,785","76,837"
Total Assets,"88,460","86,322","86,422","109,086","120,356","136,926","150,860","160,978","187,529","188,109","202,418","218,382"
