,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,38,18,12,22,22,26,33,31
Inventory Days,18,15,14,25,15,11,13,13
Days Payable,57,35,28,55,31,36,44,35
Cash Conversion Cycle,-2,-2,-2,-8,6,1,2,9
Working Capital Days,52,5,-12,-89,-59,-50,-52,-49
ROCE %,,24%,34%,31%,25%,21%,21%,17%
