,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,61.98%,61.99%,61.99%,61.99%,61.99%,61.99%,61.99%,61.99%,61.99%,61.99%,61.99%,61.99%
FIIs +,11.93%,12.35%,12.27%,12.29%,12.35%,12.54%,12.01%,12.24%,15.15%,15.38%,15.49%,15.86%
DIIs +,15.77%,15.34%,15.35%,15.63%,15.50%,15.46%,15.86%,15.82%,12.88%,12.72%,12.66%,12.25%
Public +,4.83%,4.84%,4.90%,4.59%,4.67%,4.54%,4.66%,4.48%,4.50%,4.45%,4.39%,4.43%
Others +,5.49%,5.49%,5.49%,5.49%,5.49%,5.48%,5.48%,5.48%,5.48%,5.47%,5.47%,5.47%
No. of Shareholders,"36,255","37,910","39,943","36,103","39,815","35,616","39,547","40,819","48,966","51,876","50,755","53,687"
