,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"4,947","5,135","5,475","5,874","6,218","6,445","6,714","6,989","7,458","7,725","7,737","7,833","7,623"
Interest,"3,130","3,287","3,487","3,908","4,117","4,449","4,794","4,975","5,309","5,486","5,544","5,617","5,352"
Expenses +,"2,235","2,214","2,703","3,006","2,881","2,726","2,883","2,948","3,340","2,820","2,984","2,969","3,080"
Financing Profit,-418,-366,-716,"-1,041",-780,-730,-962,-934,"-1,191",-580,-791,-753,-809
Financing Margin %,-8%,-7%,-13%,-18%,-13%,-11%,-14%,-13%,-16%,-8%,-10%,-10%,-11%
Other Income +,926,785,931,"1,113","1,055","1,192","1,267","1,255","1,642","1,271","1,488","1,583","1,815"
Depreciation,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Profit before tax,508,419,215,72,275,462,304,320,451,691,697,830,"1,006"
Tax %,27%,25%,25%,24%,25%,25%,25%,24%,-4%,25%,19%,25%,26%
Net Profit +,372,314,160,55,206,347,229,243,467,516,567,619,745
EPS in Rs,0.15,0.13,0.06,0.02,0.07,0.12,0.08,0.08,0.16,0.16,0.18,0.20,0.24
Gross NPA %,13.93%,13.40%,12.90%,2.00%,2.20%,2.00%,2.00%,2.00%,1.70%,1.70%,1.60%,1.60%,1.60%
Net NPA %,4.53%,4.20%,3.60%,1.00%,0.83%,1.00%,0.90%,0.90%,0.60%,0.50%,0.50%,0.50%,0.30%
Raw PDF,,,,,,,,,,,,,
