,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,74,84,71,15,71,45
Inventory Days,56,44,135,197,157,121
Days Payable,76,114,168,124,152,88
Cash Conversion Cycle,55,14,38,88,76,78
Working Capital Days,78,28,32,-8,47,80
ROCE %,,13%,4%,6%,25%,41%
