,Dec 2022,Dec 2023,Dec 2024
Debtor Days,55,53,57
Inventory Days,107,107,104
Days Payable,95,86,80
Cash Conversion Cycle,66,74,82
Working Capital Days,55,57,63
ROCE %,,27%,25%
