,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,66.52%,67.01%,68.11%,68.12%,69.87%,57.95%,60.49%,60.87%
FIIs +,12.49%,11.16%,10.96%,12.59%,13.21%,15.10%,21.92%,20.83%,21.37%
DIIs +,1.83%,12.75%,9.30%,7.89%,7.32%,6.31%,6.15%,6.62%,6.91%
Public +,10.68%,9.56%,12.73%,11.41%,11.35%,8.72%,13.99%,12.06%,10.80%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
No. of Shareholders,"46,412","49,303","61,909","60,280","73,578","1,10,268","1,46,581","1,87,726","2,22,569"
