,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"10,567","12,691","15,162","13,346","14,160"
Cash from Investing Activity +,"-2,435",846,"6,529","-3,406","-2,706"
Cash from Financing Activity +,"-9,697","-12,258","-23,224","-9,946","-11,411"
Net Cash Flow,"-1,565","1,279","-1,533",-6,43
