,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,14,15,17,17,18,19,22,24,29,41,48,42,33
Expenses +,8,8,8,8,9,9,10,13,14,14,16,17,20
Operating Profit,6,7,8,8,9,10,11,11,15,27,31,25,13
OPM %,45%,48%,50%,50%,51%,53%,52%,47%,52%,66%,66%,59%,40%
Other Income +,0,0,0,0,0,0,0,1,0,0,1,13,25
Interest,0,0,0,0,0,0,0,1,2,3,4,4,2
Depreciation,6,4,5,6,6,2,3,4,8,11,13,18,19
Profit before tax,1,3,4,3,3,9,9,7,6,14,16,16,18
Tax %,-134%,27%,26%,25%,22%,18%,33%,25%,37%,25%,25%,25%,23%
Net Profit +,2,3,3,2,3,7,6,6,4,10,12,12,14
EPS in Rs,1.41,1.76,1.82,1.51,1.75,4.82,4.00,3.85,2.44,7.00,7.20,5.83,6.82
Raw PDF,,,,,,,,,,,,,
