,Mar 2019,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,695,760,870,"1,217","1,465","1,695"
Expenses +,520,593,743,"1,048","1,178","1,289"
Operating Profit,176,167,126,169,287,406
OPM %,25%,22%,15%,14%,20%,24%
Other Income +,6,27,28,27,29,37
Interest,24,33,54,81,88,76
Depreciation,44,80,90,99,119,139
Profit before tax,113,82,10,16,109,228
Tax %,35%,25%,36%,39%,24%,25%
Net Profit +,73,61,6,10,83,170
EPS in Rs,,,,,,8.16
Dividend Payout %,0%,0%,"1,117%",676%,0%,0%
