,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,289,527,539,875,"1,170"
Expenses +,404,659,617,853,"1,272"
Operating Profit,-115,-132,-78,22,-102
OPM %,-40%,-25%,-14%,3%,-9%
Other Income +,14,17,22,15,22
Interest,7,11,20,19,27
Depreciation,1,2,4,4,13
Profit before tax,-110,-128,-81,14,-120
Tax %,1%,-0%,4%,0%,2%
Net Profit +,-111,-128,-84,14,-122
EPS in Rs,"-1,107.46",-22.41,-14.66,2.46,-15.64
Dividend Payout %,0%,0%,0%,0%,0%
