,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,87,61,88,108,136,117,124,142,161,164,153,145,151
Expenses +,35,31,46,72,81,74,89,77,100,115,106,108,103
Operating Profit,52,29,42,37,55,42,35,65,61,49,47,37,48
OPM %,60%,48%,47%,34%,41%,36%,28%,46%,38%,30%,31%,26%,32%
Other Income +,3,5,4,4,4,4,3,3,5,-64,4,5,3
Interest,1,1,0,1,1,1,1,2,1,1,1,1,2
Depreciation,0,1,1,1,1,1,1,1,4,1,2,4,3
Profit before tax,54,32,44,39,57,44,35,65,60,-17,47,37,46
Tax %,26%,28%,25%,27%,27%,30%,26%,27%,24%,-13%,28%,28%,26%
Net Profit +,40,23,33,28,42,31,26,47,46,-15,34,27,34
EPS in Rs,0.12,0.07,0.10,0.08,0.12,0.09,0.07,0.13,0.13,-0.04,0.09,0.07,0.09
Raw PDF,,,,,,,,,,,,,
