,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue +,346,287,250,298,355,498,512,610,626,676,710,686,555
Interest,139,108,97,91,121,149,200,228,250,249,259,258,229
Expenses +,149,151,461,132,156,242,164,240,231,281,398,731,926
Financing Profit,58,28,-307,74,78,107,148,142,145,145,52,-303,-600
Financing Margin %,17%,10%,-123%,25%,22%,22%,29%,23%,23%,22%,7%,-44%,-108%
Other Income +,4,12,9,12,20,35,16,30,31,34,27,20,18
Depreciation,2,3,2,2,3,4,3,5,6,7,4,5,6
Profit before tax,59,38,-301,84,96,139,161,168,170,172,75,-289,-588
Tax %,24%,24%,-27%,35%,26%,24%,26%,25%,25%,25%,26%,-25%,-25%
Net Profit +,45,29,-220,55,71,106,119,125,127,129,56,-216,-440
EPS in Rs,6.99,4.12,-30.98,7.77,10.05,14.87,16.82,17.61,17.90,18.04,7.81,-30.34,-61.73
Gross NPA %,,,,7.37%,5.31%,2.07%,1.63%,1.40%,1.61%,1.50%,2.60%,4.86%,4.85%
Net NPA %,,,,3.84%,2.52%,0.64%,0.49%,0.42%,0.48%,0.30%,0.53%,0.99%,0.98%
Raw PDF,,,,,,,,,,,,,
