,Dec 2023,Sep 2024,Dec 2024
Sales +,65,61,54
Expenses +,36,38,38
Operating Profit,29,23,16
OPM %,44%,38%,29%
Other Income +,1,5,8
Interest,1,1,1
Depreciation,1,2,3
Profit before tax,28,25,19
Tax %,28%,27%,20%
Net Profit +,20,18,16
EPS in Rs,4.63,3.79,3.06
Raw PDF,,,
