,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,108,113,123,118,133,140,155,158,166,170,186,175,186
Expenses +,80,85,92,89,99,108,124,121,123,128,137,129,133
Operating Profit,28,28,31,29,34,31,32,37,44,43,49,45,53
OPM %,26%,25%,25%,25%,26%,22%,20%,24%,26%,25%,27%,26%,28%
Other Income +,4,5,4,5,6,4,4,4,4,7,5,9,4
Interest,2,1,2,2,2,2,3,4,7,5,6,6,7
Depreciation,10,12,13,14,15,16,19,21,18,21,22,23,22
Profit before tax,20,19,20,18,24,18,13,16,23,23,25,25,29
Tax %,10%,24%,24%,23%,20%,18%,22%,19%,17%,23%,23%,24%,28%
Net Profit +,18,14,15,14,19,15,10,13,19,18,20,19,21
EPS in Rs,5.71,4.53,4.89,4.34,6.03,4.66,3.34,4.02,5.80,5.55,6.07,6.01,6.40
Raw PDF,,,,,,,,,,,,,
