,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,162.37,162.57,201.68,201.80,202.46,198.98,235.49,237.98,216.05,244.23,278.89,267.54,275.63
Expenses +,134.17,138.57,161.62,164.73,168.65,173.32,192.36,185.26,173.73,205.37,233.68,234.89,241.72
Operating Profit,28.20,24.00,40.06,37.07,33.81,25.66,43.13,52.72,42.32,38.86,45.21,32.65,33.91
OPM %,17.37%,14.76%,19.86%,18.37%,16.70%,12.90%,18.32%,22.15%,19.59%,15.91%,16.21%,12.20%,12.30%
Other Income +,-1.62,4.27,3.99,5.31,4.19,9.18,4.53,5.38,4.52,4.99,9.70,7.16,5.42
Interest,1.56,1.74,1.84,1.79,2.67,2.84,2.75,3.17,3.63,6.47,8.12,9.26,10.66
Depreciation,11.26,11.15,11.58,11.90,11.79,12.81,11.94,12.30,12.40,15.60,16.37,16.84,16.32
Profit before tax,13.76,15.38,30.63,28.69,23.54,19.19,32.97,42.63,30.81,21.78,30.42,13.71,12.35
Tax %,6.18%,34.20%,34.38%,35.83%,35.09%,27.57%,36.85%,35.30%,38.14%,26.35%,51.55%,82.71%,124.21%
Net Profit +,12.91,10.13,20.11,18.40,15.28,13.90,20.82,27.57,19.06,16.04,14.74,2.36,-2.99
EPS in Rs,1.20,0.95,1.86,1.70,1.42,1.29,1.93,2.55,1.77,1.54,1.45,0.31,-0.17
Raw PDF,,,,,,,,,,,,,
