,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,96.90,95.90,110.10,107.30,119.20,100.70,103.00,109.70
Expenses +,84.10,79.90,89.00,86.70,92.10,80.60,84.50,89.20
Operating Profit,12.80,16.00,21.10,20.60,27.10,20.10,18.50,20.50
OPM %,13.21%,16.68%,19.16%,19.20%,22.73%,19.96%,17.96%,18.69%
Other Income +,5.70,2.00,4.40,2.60,2.30,1.70,5.60,5.70
Interest,4.10,4.40,5.00,4.90,4.80,5.30,4.60,4.10
Depreciation,6.00,8.90,9.00,9.90,10.40,10.70,10.70,11.10
Profit before tax,8.40,4.70,11.50,8.40,14.20,5.80,8.80,11.00
Tax %,35.71%,25.53%,24.35%,23.81%,27.46%,34.48%,35.23%,19.09%
Net Profit +,5.40,3.50,8.70,6.40,10.30,3.80,5.70,8.90
EPS in Rs,7.87,0.74,1.69,1.34,1.98,0.67,1.09,1.51
Raw PDF,,,,,,,,
