,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,137,"1,142",166,198,256,775,157,246,259,601,520,"1,016","1,035"
Expenses +,175,944,230,247,291,781,206,299,302,775,533,"1,025","1,045"
Operating Profit,-38,197,-64,-49,-35,-6,-49,-53,-43,-174,-13,-9,-11
OPM %,-27%,17%,-39%,-25%,-14%,-1%,-31%,-22%,-17%,-29%,-2%,-1%,-1%
Other Income +,7,226,22,10,10,11,13,10,13,9,-11,14,38
Interest,50,52,46,50,51,63,55,69,57,60,53,62,64
Depreciation,12,13,12,12,12,13,12,13,14,14,14,14,13
Profit before tax,-93,357,-100,-101,-88,-72,-103,-126,-101,-239,-91,-70,-49
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-93,356,-100,-101,-88,-72,-103,-126,-101,-239,-91,-70,-49
EPS in Rs,-0.99,3.81,-1.06,-1.06,-0.92,-0.76,-1.07,-1.31,-1.05,-2.49,-0.95,-0.73,-0.51
Raw PDF,,,,,,,,,,,,,
