,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,374,320,314,332,403,467,557,599,610,520,521,451,476
Expenses +,321,285,281,294,358,390,456,486,479,410,412,357,396
Operating Profit,53,35,33,38,45,78,101,113,131,110,109,94,79
OPM %,14%,11%,11%,12%,11%,17%,18%,19%,22%,21%,21%,21%,17%
Other Income +,3,3,6,6,4,3,3,2,-19,5,12,2,6
Interest,2,1,1,2,3,2,3,3,4,2,3,5,4
Depreciation,8,8,8,9,10,10,10,11,11,11,11,11,11
Profit before tax,46,29,30,33,36,69,91,102,98,103,107,79,71
Tax %,29%,31%,35%,32%,3%,25%,26%,23%,33%,26%,29%,26%,26%
Net Profit +,33,20,20,24,35,52,68,79,81,80,87,65,45
EPS in Rs,1.21,0.72,0.72,0.86,1.26,1.87,2.48,2.85,2.94,2.89,3.15,2.33,1.62
Raw PDF,,,,,,,,,,,,,
