,Mar 2023,Mar 2024,Mar 2025
Sales +,239,76,72
Expenses +,453,478,395
Operating Profit,-214,-402,-323
OPM %,-90%,-532%,-450%
Other Income +,11,29,2
Interest,8,2,9
Depreciation,12,13,12
Profit before tax,-223,-387,-343
Tax %,0%,0%,-0%
Net Profit +,-223,-387,-343
EPS in Rs,-6.86,-11.93,-10.55
Dividend Payout %,0%,0%,0%
