,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,011","4,102","3,913","3,129","3,102","4,310","4,352","3,244","3,387","4,863","4,700","3,561","3,877"
Expenses +,"2,315","3,452","3,423","2,633","2,589","3,586","3,706","2,898","2,977","4,492","3,804","2,951","3,065"
Operating Profit,696,650,490,496,513,724,646,346,410,371,896,610,812
OPM %,23%,16%,13%,16%,17%,17%,15%,11%,12%,8%,19%,17%,21%
Other Income +,409,191,421,426,547,323,423,617,645,744,189,396,293
Interest,298,265,274,289,289,308,305,296,325,322,328,339,335
Depreciation,223,217,221,219,221,300,303,303,311,301,295,305,304
Profit before tax,584,359,416,414,550,439,461,364,419,492,462,362,466
Tax %,24%,17%,23%,19%,19%,16%,21%,17%,1%,21%,19%,22%,17%
Net Profit +,445,297,319,336,445,368,363,301,415,388,373,282,385
EPS in Rs,3.20,2.16,2.30,2.41,3.27,2.62,2.63,2.12,3.02,2.85,2.66,2.00,2.81
Raw PDF,,,,,,,,,,,,,
