,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,186,175,223,264,315,289,254,297,320,266,250,319,535
Expenses +,157,162,193,250,285,262,221,271,284,265,226,295,498
Operating Profit,29,13,30,14,30,27,33,27,36,2,24,24,37
OPM %,16%,7%,13%,5%,10%,9%,13%,9%,11%,1%,10%,8%,7%
Other Income +,4,10,7,24,12,6,12,14,18,21,26,23,22
Interest,0,0,0,1,0,3,1,3,2,1,1,2,3
Depreciation,11,11,14,10,15,16,15,15,15,22,15,26,31
Profit before tax,22,11,23,26,26,14,28,23,37,0,34,20,25
Tax %,24%,55%,27%,34%,23%,33%,26%,-6%,21%,-200%,31%,18%,46%
Net Profit +,17,5,16,17,20,9,21,24,30,0,24,16,14
EPS in Rs,1.58,0.34,1.75,1.55,2.49,0.39,2.95,3.00,3.51,1.11,2.96,2.87,3.59
Raw PDF,,,,,,,,,,,,,
