,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,012","1,042","1,116","1,106","1,115","1,056","1,096","1,156","1,167","1,145","1,219","1,294","1,341"
Expenses +,881,824,889,876,926,808,816,868,879,851,913,"1,030","1,075"
Operating Profit,131,219,226,230,189,248,280,288,288,295,306,265,266
OPM %,13%,21%,20%,21%,17%,23%,26%,25%,25%,26%,25%,20%,20%
Other Income +,10,10,31,10,9,10,15,18,19,9,16,8,14
Interest,15,19,21,6,32,24,27,31,29,26,23,27,24
Depreciation,22,24,27,31,31,33,38,39,49,46,51,53,53
Profit before tax,104,186,208,203,136,201,230,236,229,232,247,192,204
Tax %,27%,26%,23%,26%,28%,25%,25%,25%,27%,26%,25%,26%,24%
Net Profit +,81,138,160,150,98,150,173,177,168,172,186,142,155
EPS in Rs,0.74,1.26,1.45,1.37,0.89,1.37,1.57,1.61,1.53,1.56,1.69,1.29,1.41
Raw PDF,,,,,,,,,,,,,
