,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,446,337,358,339,328,294,314,292,321,340,367,346,345
Expenses +,345,277,305,298,306,238,257,245,270,278,314,294,297
Operating Profit,101,60,53,41,22,57,58,47,51,62,53,52,48
OPM %,23%,18%,15%,12%,7%,19%,18%,16%,16%,18%,14%,15%,14%
Other Income +,5,7,7,7,8,13,10,10,8,12,11,7,8
Interest,0,0,1,0,0,0,0,0,0,0,0,0,0
Depreciation,2,2,3,3,2,2,2,2,2,2,2,2,2
Profit before tax,103,65,57,46,28,67,65,54,57,71,62,57,54
Tax %,29%,26%,28%,27%,48%,24%,25%,26%,29%,25%,25%,28%,27%
Net Profit +,73,48,41,34,14,51,48,40,40,53,46,41,40
EPS in Rs,2.94,1.92,1.66,1.35,0.57,2.03,1.94,1.62,1.62,2.14,1.86,1.64,1.59
Raw PDF,,,,,,,,,,,,,
