,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,889,751,"1,021","1,180","1,123","1,466"
Expenses +,777,666,907,"1,052",985,"1,255"
Operating Profit,112,85,114,128,138,211
OPM %,13%,11%,11%,11%,12%,14%
Other Income +,7,9,7,13,15,18
Interest,8,9,10,17,45,38
Depreciation,28,27,28,29,49,55
Profit before tax,83,58,83,95,59,135
Tax %,24%,25%,25%,27%,31%,24%
Net Profit +,64,44,62,69,41,103
EPS in Rs,29.17,19.94,28.39,31.82,16.01,40.51
Dividend Payout %,7%,10%,7%,6%,19%,7%
