,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,502,379,559,540,545,388,435,448,514,407,453,448,552
Expenses +,441,356,489,466,457,338,377,383,420,349,378,376,429
Operating Profit,61,23,70,75,88,50,58,65,94,58,75,72,123
OPM %,12%,6%,12%,14%,16%,13%,13%,14%,18%,14%,17%,16%,22%
Other Income +,0,3,1,3,0,1,1,0,0,0,0,4,0
Interest,8,11,11,13,13,14,13,14,15,20,19,19,18
Depreciation,24,26,27,28,27,28,29,29,32,32,32,33,38
Profit before tax,29,-12,33,36,49,10,17,22,47,7,25,24,68
Tax %,28%,-25%,24%,26%,26%,29%,25%,25%,28%,26%,26%,28%,26%
Net Profit +,21,-9,25,26,36,7,13,16,34,5,18,17,50
EPS in Rs,1.68,-0.72,2.01,2.14,2.92,0.56,1.02,1.31,2.75,0.41,1.48,1.39,4.07
Raw PDF,,,,,,,,,,,,,
