,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,111,117,149,182,209,213,245,268,322,291,330,371,403
Interest,50,53,69,82,90,93,105,117,128,136,143,167,181
Expenses +,51,57,64,81,87,82,99,107,136,113,139,152,161
Financing Profit,10,7,16,19,32,38,41,44,58,43,48,52,61
Financing Margin %,9%,6%,11%,11%,15%,18%,17%,16%,18%,15%,15%,14%,15%
Other Income +,2,5,6,8,8,5,9,12,8,10,13,14,9
Depreciation,4,2,5,5,6,8,9,9,10,10,11,12,13
Profit before tax,8,10,18,22,34,36,41,46,56,43,50,53,57
Tax %,24%,29%,70%,41%,58%,29%,29%,30%,42%,29%,29%,29%,29%
Net Profit +,6,7,5,13,14,25,29,33,33,30,36,38,41
EPS in Rs,0.86,1.04,0.75,1.86,1.99,2.73,3.12,3.51,3.52,3.27,3.82,4.03,4.35
Gross NPA %,,1.70%,1.70%,1.70%,2.46%,1.80%,1.90%,2.00%,2.00%,2.00%,2.10%,2.10%,
Net NPA %,,1.20%,1.20%,1.10%,1.31%,1.00%,1.10%,1.10%,1.10%,1.20%,1.30%,1.50%,
Raw PDF,,,,,,,,,,,,,
