,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,325,356,402,429,393,410,411,442,415,428,445,464,433
Expenses +,289,307,355,376,338,356,355,380,367,355,382,395,378
Operating Profit,36,49,47,54,55,53,56,63,48,72,63,69,55
OPM %,11%,14%,12%,12%,14%,13%,14%,14%,11%,17%,14%,15%,13%
Other Income +,3,3,4,4,4,8,7,6,10,9,11,11,10
Interest,1,2,1,1,1,1,1,1,1,1,1,1,1
Depreciation,23,21,21,21,21,20,21,21,21,22,21,22,22
Profit before tax,15,29,29,35,37,40,41,47,35,59,51,57,42
Tax %,27%,24%,26%,26%,30%,15%,24%,29%,26%,26%,27%,29%,27%
Net Profit +,11,22,21,26,26,34,31,33,26,43,37,41,31
EPS in Rs,1.84,3.71,3.58,4.45,4.40,5.70,5.38,5.78,4.40,7.25,6.38,6.87,5.20
Raw PDF,,,,,,,,,,,,,
