,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2025
Sales +,245,279,288,411,733
Expenses +,176,209,217,327,568
Operating Profit,70,70,71,84,165
OPM %,28%,25%,25%,20%,23%
Other Income +,4,3,4,1,5
Interest,2,2,2,3,3
Depreciation,9,11,12,13,24
Profit before tax,63,61,61,70,143
Tax %,32%,13%,-2%,27%,17%
Net Profit +,43,54,62,51,118
EPS in Rs,21.06,27.17,31.34,25.97,59.07
Dividend Payout %,17%,13%,13%,29%,29%
