,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Sales +,867,833,176,297
Expenses +,"1,066","1,107",407,455
Operating Profit,-200,-275,-232,-158
OPM %,-23%,-33%,-132%,-53%
Other Income +,26,37,-34,-7
Interest,57,31,4,3
Depreciation,11,15,20,25
Profit before tax,-241,-284,-290,-194
Tax %,0%,0%,0%,0%
Net Profit +,-241,-285,-290,-194
EPS in Rs,"-23,904.95","-28,173.27","-28,762.38","-19,202.97"
Dividend Payout %,-0%,-0%,-0%,-0%
