,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,66,89,89,106,111,93,91,102,107,82,103,122,133
Expenses +,54,64,65,73,79,70,71,74,81,70,79,87,94
Operating Profit,12,25,23,32,32,22,20,29,27,12,25,35,39
OPM %,18%,28%,26%,31%,29%,24%,22%,28%,25%,14%,24%,28%,29%
Other Income +,2,2,3,1,4,1,2,5,4,1,0,1,1
Interest,5,6,5,5,5,5,5,5,3,4,5,5,4
Depreciation,7,6,6,6,6,6,6,6,6,7,8,9,9
Profit before tax,2,16,16,23,26,13,11,22,21,2,13,22,26
Tax %,33%,29%,29%,34%,30%,32%,31%,24%,21%,26%,34%,34%,32%
Net Profit +,0,10,8,16,21,7,4,19,19,-1,6,15,19
EPS in Rs,0.00,0.56,0.45,0.87,1.16,0.41,0.24,1.04,1.08,-0.08,0.32,0.86,1.09
Raw PDF,,,,,,,,,,,,,
