,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,772","2,696","2,587","2,673","2,271","1,652","2,080","2,088","2,110","2,021","1,917","1,899","2,055"
Expenses +,"1,888","1,933","2,278","2,235","1,902","1,547","1,911","2,004","1,965","1,868","1,827","1,767","1,815"
Operating Profit,884,763,309,438,369,105,169,84,145,153,90,132,240
OPM %,32%,28%,12%,16%,16%,6%,8%,4%,7%,8%,5%,7%,12%
Other Income +,61,76,85,77,123,88,152,121,108,99,123,157,122
Interest,0,2,1,1,1,1,1,7,4,17,2,3,1
Depreciation,74,76,77,76,74,76,78,76,78,78,76,75,74
Profit before tax,871,761,316,438,417,116,242,122,171,157,135,211,287
Tax %,26%,25%,25%,26%,20%,27%,26%,22%,26%,27%,24%,25%,27%
Net Profit +,643,572,238,326,336,88,182,97,130,118,105,163,211
EPS in Rs,41.37,36.80,15.31,20.98,21.62,5.66,11.71,6.60,8.85,8.03,7.15,11.09,14.36
Raw PDF,,,,,,,,,,,,,
