,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,153,138,211,108,227,186,350,371,504,528,640,733,912
Expenses +,190,421,256,131,412,218,321,344,391,429,505,567,707
Operating Profit,-37,-282,-45,-23,-185,-32,29,27,113,99,135,166,205
OPM %,-24%,-204%,-21%,-22%,-81%,-17%,8%,7%,22%,19%,21%,23%,22%
Other Income +,34,45,20,1,8,-1,5,17,3,23,18,11,82
Interest,66,84,83,91,92,63,69,62,60,55,56,44,35
Depreciation,27,21,26,25,26,23,29,27,29,30,42,45,47
Profit before tax,-96,-342,-134,-138,-294,-118,-65,-46,27,37,55,88,205
Tax %,-30%,-26%,-3%,-3%,-2%,-4%,2%,25%,124%,-2%,24%,4%,39%
Net Profit +,-67,-253,-130,-134,-288,-113,-66,-57,-7,38,42,84,124
EPS in Rs,-32.41,-115.22,-61.72,-64.43,-136.21,-65.57,-32.80,-34.82,-6.52,15.83,8.54,21.30,32.21
Raw PDF,,,,,,,,,,,,,
