,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020
Sales +,178,218,213,237,266,235,257,235
Expenses +,141,169,174,199,207,177,184,167
Operating Profit,37,49,39,38,59,58,73,68
OPM %,21%,23%,18%,16%,22%,25%,28%,29%
Other Income +,2,1,3,3,3,2,18,3
Interest,4,4,4,3,4,3,2,2
Depreciation,6,6,6,6,6,7,7,7
Profit before tax,29,41,32,32,52,51,82,61
Tax %,34%,35%,31%,40%,30%,-9%,26%,19%
Net Profit +,19,27,22,19,37,55,60,49
EPS in Rs,3.78,5.23,4.36,3.71,7.19,10.77,11.85,9.65
Raw PDF,,,,,,,,
