,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,165,157,179,210,243,185,194,162
Expenses +,142,143,155,180,209,160,164,156
Operating Profit,23,14,24,30,35,25,30,6
OPM %,14%,9%,13%,14%,14%,13%,15%,3%
Other Income +,10,2,8,3,6,3,16,-1
Interest,9,8,10,10,12,11,7,10
Depreciation,9,11,11,12,12,13,13,12
Profit before tax,15,-3,11,11,16,4,26,-17
Tax %,20%,78%,9%,16%,28%,28%,15%,-24%
Net Profit +,12,-5,10,9,12,3,22,-13
EPS in Rs,11.36,-4.32,1.86,1.70,2.24,0.46,3.22,-1.93
Raw PDF,,,,,,,,
