Ticker,Company Type,QOQ Net Profit (Adjusted),QOQ Actual Income (Adjusted),QOQ Net Profit (Raw),QOQ Actual Income (Raw),QOQ Net Profit Ascending (Adjusted),QOQ Actual Income Ascending (Adjusted),QOQ Net Profit Ascending (Raw),QOQ Actual Income Ascending (Raw),Same Quarter Net Profit (Adjusted),Same Quarter Net Profit (Raw),YOY Net Profit (Adjusted),YOY Actual Income (Adjusted),YOY Net Profit (Raw),YOY Actual Income (Raw),YOY Net Profit Ascending (Adjusted),YOY Actual Income Ascending (Adjusted),YOY Net Profit Ascending (Raw),YOY Actual Income Ascending (Raw),Error
DIVISLAB,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
AFFLE,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,PASS,PASS,None
CHEMPLASTS,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
VINATIORGA,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
SMLISUZU,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
REDTAPE,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
CREDITACC,Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,N/A,N/A,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
JINDALSAW,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
CCL,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
PILANIINVS,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
CSBBANK,Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,N/A,N/A,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
EQUITASBNK,Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,N/A,N/A,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
AWL,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
JINDALPOLY,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
FSL,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
IREDA,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,N/A,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
ALEMBICLTD,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
