,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,28,37,33,52,96,132,66,100,141,255,242,152,325
Expenses +,23,26,23,36,61,64,48,57,91,143,162,108,187
Operating Profit,5,11,10,17,35,69,19,42,50,111,80,44,138
OPM %,17%,29%,30%,32%,37%,52%,29%,43%,36%,44%,33%,29%,42%
Other Income +,2,2,3,4,-0,3,5,4,5,3,8,22,25
Interest,1,1,1,2,1,0,1,1,1,1,2,3,4
Depreciation,1,2,1,2,2,2,2,3,3,3,4,4,5
Profit before tax,5,11,11,17,33,69,22,44,52,110,82,59,154
Tax %,3%,34%,31%,30%,29%,30%,37%,32%,27%,28%,23%,28%,26%
Net Profit +,5,7,8,12,23,48,14,30,38,79,63,43,114
EPS in Rs,0.42,0.94,0.71,1.19,2.54,5.60,1.82,3.64,4.16,9.14,6.94,4.40,11.19
Raw PDF,,,,,,,,,,,,,
