,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,649.80,738.11,713.28,709.32,605.00,684.70,677.10,628.74,621.10,701.12,693.05,675.61,753.99
Expenses +,572.65,630.48,620.13,630.65,546.14,613.81,623.25,582.24,572.66,634.43,625.73,619.98,690.00
Operating Profit,77.15,107.63,93.15,78.67,58.86,70.89,53.85,46.50,48.44,66.69,67.32,55.63,63.99
OPM %,11.87%,14.58%,13.06%,11.09%,9.73%,10.35%,7.95%,7.40%,7.80%,9.51%,9.71%,8.23%,8.49%
Other Income +,2.64,-13.09,4.72,-0.12,-0.92,-12.29,0.72,2.15,1.26,2.02,3.39,-0.23,-4.85
Interest,13.00,11.22,14.29,16.44,13.41,9.77,13.91,15.76,18.42,23.34,23.13,24.63,21.45
Depreciation,17.99,14.94,18.50,22.05,25.12,13.72,21.64,22.15,26.90,26.12,28.00,27.77,28.87
Profit before tax,48.80,68.38,65.08,40.06,19.41,35.11,19.02,10.74,4.38,19.25,19.58,3.00,8.82
Tax %,10.37%,20.81%,19.28%,24.29%,9.58%,14.18%,32.86%,1.49%,13.01%,29.04%,27.07%,-85.00%,72.22%
Net Profit +,43.74,53.44,52.53,30.33,17.55,30.13,12.77,10.58,3.81,13.66,14.28,5.55,2.45
EPS in Rs,10.07,12.31,12.10,6.73,3.90,6.69,2.83,2.35,0.85,3.03,3.17,1.23,0.54
Raw PDF,,,,,,,,,,,,,
