,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,206,196,292,419,432,433
Expenses +,193,162,232,335,343,346
Operating Profit,14,34,60,84,89,86
OPM %,7%,17%,21%,20%,21%,20%
Other Income +,6,2,5,7,10,15
Interest,1,10,12,16,22,19
Depreciation,4,21,22,28,38,43
Profit before tax,14,6,32,46,39,40
Tax %,38%,69%,27%,25%,25%,
Net Profit +,8,2,23,35,29,29
EPS in Rs,10.39,1.40,28.96,44.63,5.83,5.25
Dividend Payout %,0%,104%,35%,43%,0%,
