,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,542,124,183,705,166,99,282,694,401,749,828,520
Expenses +,496,194,196,672,176,129,289,674,402,761,814,477
Operating Profit,46,-71,-13,33,-10,-30,-7,20,-1,-12,13,44
OPM %,8%,-57%,-7%,5%,-6%,-31%,-2%,3%,-0%,-2%,2%,8%
Other Income +,17,12,9,5,13,23,20,28,27,28,34,50
Interest,21,23,18,11,6,11,5,8,7,17,14,13
Depreciation,5,6,6,5,5,5,6,6,5,7,8,8
Profit before tax,37,-88,-28,22,-8,-24,2,35,13,-7,26,73
Tax %,11%,-32%,61%,65%,-15%,-16%,-6%,-19%,49%,-158%,-11%,16%
Net Profit +,33,-59,-45,8,-7,-20,2,41,7,4,29,61
EPS in Rs,2.88,-5.21,-3.60,0.61,-0.58,-1.42,0.15,2.93,0.48,0.29,2.07,4.35
Raw PDF,,,,,,,,,,,,
