,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"10,687","10,905","11,151","11,262","12,264","11,048","11,267","11,550","11,978","11,006","11,278","11,233","12,275"
Expenses +,"1,983","1,661","1,785","1,368","1,433","1,716","1,557","1,375","2,055","1,466","1,681","1,700","2,081"
Operating Profit,"8,704","9,245","9,366","9,893","10,831","9,332","9,710","10,175","9,923","9,540","9,597","9,533","10,194"
OPM %,81%,85%,84%,88%,88%,84%,86%,88%,83%,87%,85%,85%,83%
Other Income +,737,342,199,500,294,209,263,380,389,302,814,552,366
Interest,"2,091","1,960","2,187","3,012","2,475","2,057","2,341","2,446","1,928","2,039","2,441","1,917","2,303"
Depreciation,"3,279","3,295","3,317","3,407","3,314","3,266","3,277","3,293","3,259","3,200","3,292","3,216","3,196"
Profit before tax,"4,071","4,331","4,060","3,975","5,335","4,218","4,355","4,816","5,125","4,603","4,678","4,952","5,062"
Tax %,-2%,12%,10%,8%,19%,15%,13%,16%,19%,19%,19%,22%,18%
Net Profit +,"4,156","3,801","3,650","3,645","4,323","3,597","3,781","4,028","4,166","3,724","3,793","3,862","4,143"
EPS in Rs,4.47,4.09,3.92,3.92,4.65,3.87,4.07,4.33,4.48,4.00,4.08,4.15,4.45
Raw PDF,,,,,,,,,,,,,
