,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,425.93,452.01,484.63,570.86,590.16,477.59,482.03,476.58,364.38,315.89,432.28,385.70,407.37
Expenses +,344.14,328.38,338.96,334.05,361.54,322.74,350.79,366.95,329.12,282.22,379.96,357.39,387.10
Operating Profit,81.79,123.63,145.67,236.81,228.62,154.85,131.24,109.63,35.26,33.67,52.32,28.31,20.27
OPM %,19.20%,27.35%,30.06%,41.48%,38.74%,32.42%,27.23%,23.00%,9.68%,10.66%,12.10%,7.34%,4.98%
Other Income +,16.13,8.71,13.21,16.34,-1.63,21.61,21.35,24.12,27.87,25.42,30.33,15.30,17.68
Interest,2.21,1.17,1.20,1.40,3.40,1.32,1.44,0.83,0.83,2.24,3.87,4.53,7.26
Depreciation,18.18,16.80,15.10,15.56,15.73,15.83,16.61,16.72,16.71,20.82,20.97,22.00,24.53
Profit before tax,77.53,114.37,142.58,236.19,207.86,159.31,134.54,116.20,45.59,36.03,57.81,17.08,6.16
Tax %,25.90%,25.71%,20.44%,27.94%,25.95%,25.59%,25.44%,29.03%,15.75%,23.18%,27.82%,31.79%,-27.27%
Net Profit +,57.45,84.95,113.43,170.18,153.90,118.55,100.31,82.47,38.41,27.68,41.72,11.65,7.85
EPS in Rs,2.89,4.27,5.70,8.56,7.74,5.96,5.04,4.15,1.93,1.39,2.10,0.59,0.39
Raw PDF,,,,,,,,,,,,,
