,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,684,731,609,623,743,863,764,902,"1,026","1,164",919,"1,011",952
Expenses +,614,667,549,561,672,753,681,812,915,"1,059",859,938,868
Operating Profit,69,64,61,62,71,110,83,90,112,104,60,73,84
OPM %,10%,9%,10%,10%,10%,13%,11%,10%,11%,9%,7%,7%,9%
Other Income +,5,11,7,7,7,9,7,8,9,207,11,12,15
Interest,11,10,8,7,7,11,11,11,12,14,15,16,15
Depreciation,9,8,9,9,11,10,12,13,14,29,15,17,18
Profit before tax,55,57,51,52,60,98,67,74,95,269,41,53,67
Tax %,24%,25%,27%,25%,25%,26%,26%,26%,26%,26%,26%,27%,26%
Net Profit +,42,42,38,39,45,72,50,55,71,200,31,38,49
EPS in Rs,6.32,6.32,5.64,5.84,6.72,10.77,7.42,8.22,10.55,29.83,4.56,5.73,7.37
Raw PDF,,,,,,,,,,,,,
