,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010
Sales +,502,513,516,514,512,543,602,621
Expenses +,350,357,367,384,356,428,468,461
Operating Profit,152,157,150,130,156,114,133,161
OPM %,30%,30%,29%,25%,31%,21%,22%,26%
Other Income +,3,5,2,3,1,7,1,22
Interest,75,93,84,54,73,103,93,81
Depreciation,114,115,116,118,119,134,145,166
Profit before tax,-35,-47,-48,-39,-34,-117,-103,-64
Tax %,1%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-35,-47,-49,-39,-34,-116,-103,-64
EPS in Rs,-0.16,-0.22,-0.23,-0.18,-0.16,-0.54,-0.48,-0.30
Raw PDF,,,,,,,,
