,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,633","3,463","4,401","3,625","5,665","5,616"
Expenses +,"1,678","2,161","2,890","2,600","4,332","4,348"
Operating Profit,955,"1,302","1,510","1,025","1,333","1,269"
OPM %,36%,38%,34%,28%,24%,23%
Other Income +,139,135,224,184,170,214
Interest,7,3,5,7,26,42
Depreciation,95,99,110,147,345,378
Profit before tax,993,"1,335","1,619","1,055","1,133","1,063"
Tax %,22%,25%,25%,26%,32%,34%
Net Profit +,773,997,"1,212",781,772,699
EPS in Rs,49.88,60.94,73.75,47.42,46.90,42.40
Dividend Payout %,0%,0%,0%,0%,43%,42%
