,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,0,0,0,0,0,0,0,0,0,2,1,1,2
Expenses +,0,0,0,0,0,0,0,0,0,5,1,1,2
Operating Profit,-0,-0,-0,-0,-0,-0,-0,-0,-0,-2,0,-0,-0
OPM %,,,,,,,,,-34%,-93%,11%,-3%,-3%
Other Income +,0,0,0,0,0,0,0,0,0,0,0,0,-23
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,5,5,5,5,5,5,5,5,5,3,0,0,0
Profit before tax,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-0,-23
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,-0%
Net Profit +,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-0,-23
EPS in Rs,-1.52,-1.52,-1.51,-1.52,-1.51,-1.56,-1.52,-1.55,-1.50,-2.11,0.02,-0.04,-8.98
Raw PDF,,,,,,,,,,,,,
