,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,65.23,60.29,61.92,60.91,61.22,80.35,102.66,99.64,93.46,96.51
Expenses +,48.84,46.20,45.73,44.72,47.61,65.25,82.19,84.55,79.44,88.32
Operating Profit,16.39,14.09,16.19,16.19,13.61,15.10,20.47,15.09,14.02,8.19
OPM %,25.13%,23.37%,26.15%,26.58%,22.23%,18.79%,19.94%,15.14%,15.00%,8.49%
Other Income +,0.17,0.34,0.36,0.56,0.82,0.86,4.69,5.66,3.75,3.02
Interest,0.64,0.45,0.76,0.85,0.57,0.19,0.42,0.77,0.61,1.01
Depreciation,0.60,0.58,0.71,0.74,0.71,0.77,0.85,0.58,1.40,1.28
Profit before tax,15.32,13.40,15.08,15.16,13.15,15.00,23.89,19.40,15.76,8.92
Tax %,26.76%,26.72%,24.47%,24.54%,24.33%,28.67%,25.78%,25.15%,26.84%,29.26%
Net Profit +,11.22,9.82,11.39,11.44,9.96,10.71,17.74,14.53,11.52,6.31
EPS in Rs,107.64,2.48,2.85,2.87,2.50,1.93,3.19,2.60,2.12,1.16
Raw PDF,,,,,,,,,,
