,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,294,298,316,385,303,323,364,464
Expenses +,269,279,289,348,276,298,329,415
Operating Profit,25,19,28,38,27,25,35,49
OPM %,9%,6%,9%,10%,9%,8%,10%,11%
Other Income +,3,4,5,5,3,5,6,7
Interest,1,0,1,1,1,0,1,1
Depreciation,2,2,2,2,2,2,2,5
Profit before tax,26,20,30,40,27,27,38,50
Tax %,25%,25%,26%,26%,26%,25%,25%,23%
Net Profit +,19,15,22,30,20,21,28,39
EPS in Rs,12.93,10.53,15.25,20.60,14.07,12.42,16.95,23.24
Raw PDF,,,,,,,,
