,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,64,97,243,301,519
Expenses +,60,90,210,260,459
Operating Profit,5,7,33,42,60
OPM %,7%,7%,14%,14%,12%
Other Income +,1,2,1,8,26
Interest,2,1,4,1,1
Depreciation,0,1,3,3,6
Profit before tax,4,7,27,46,79
Tax %,20%,21%,25%,27%,26%
Net Profit +,3,5,20,34,59
EPS in Rs,"3,150.00","5,380.00",2.83,3.46,5.78
Dividend Payout %,0%,0%,0%,0%,17%
