,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,032",891,845,986,"1,055",999,60,66,70,67,59,65,67
Expenses +,934,861,793,906,947,894,76,75,81,76,70,72,93
Operating Profit,98,30,52,80,108,105,-16,-9,-11,-8,-11,-6,-26
OPM %,9%,3%,6%,8%,10%,10%,-27%,-13%,-15%,-12%,-19%,-9%,-38%
Other Income +,-12,26,15,-159,15,7,-29,-27,-214,-14,-45,-50,"5,805"
Interest,124,111,110,25,123,116,7,7,6,7,7,7,6
Depreciation,28,27,25,107,26,31,6,6,6,6,6,6,14
Profit before tax,-66,-81,-67,-211,-25,-35,-59,-49,-236,-35,-70,-69,"5,759"
Tax %,-31%,-25%,-12%,-77%,4%,-8%,0%,0%,2%,75%,0%,-0%,-0%
Net Profit +,-46,-61,-59,-48,-26,-32,-59,-49,-241,-61,-70,-69,"5,766"
EPS in Rs,-1.90,-2.51,-1.90,-1.54,-0.84,-1.04,-1.89,-1.58,-7.75,-1.98,-2.25,-2.23,185.57
Raw PDF,,,,,,,,,,,,,
