,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,370,433,628,760
Expenses +,275,326,475,565
Operating Profit,95,107,153,195
OPM %,26%,25%,24%,26%
Other Income +,4,10,8,8
Interest,3,3,9,6
Depreciation,22,23,39,45
Profit before tax,74,91,113,153
Tax %,26%,26%,24%,22%
Net Profit +,55,67,85,119
EPS in Rs,18.08,22.09,27.33,37.61
Dividend Payout %,20%,0%,0%,7%
