,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,181,159,241,273,195,262,241,319,216,310,244
Expenses +,116,121,131,146,123,147,135,187,135,176,146
Operating Profit,65,37,110,127,72,116,106,132,81,134,98
OPM %,36%,24%,46%,47%,37%,44%,44%,41%,38%,43%,40%
Other Income +,14,6,9,12,13,8,11,11,12,10,17
Interest,1,1,1,1,1,1,0,0,0,0,0
Depreciation,14,13,14,14,13,13,14,14,13,13,13
Profit before tax,64,30,105,124,71,110,103,129,80,130,101
Tax %,23%,26%,26%,26%,23%,26%,25%,26%,25%,27%,25%
Net Profit +,49,22,77,91,54,81,78,95,60,96,76
EPS in Rs,51.79,2.10,7.40,8.75,5.21,7.74,7.41,9.08,5.70,9.15,7.26
Raw PDF,,,,,,,,,,,
