,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,819,728,616,856,600,"1,149",834,732,584,750,960,926,841
Expenses +,677,641,528,726,488,941,715,666,474,631,849,861,744
Operating Profit,141,87,88,130,112,208,118,65,109,119,111,66,98
OPM %,17%,12%,14%,15%,19%,18%,14%,9%,19%,16%,12%,7%,12%
Other Income +,5,20,22,16,23,12,9,56,27,37,16,16,23
Interest,12,8,6,9,9,9,10,16,8,16,26,12,9
Depreciation,21,21,24,29,32,34,31,31,32,33,26,32,35
Profit before tax,113,79,80,109,93,176,87,74,96,107,75,38,76
Tax %,-10%,25%,29%,49%,31%,30%,30%,26%,32%,14%,27%,-75%,22%
Net Profit +,124,59,57,56,65,124,61,55,65,91,55,66,60
EPS in Rs,15.37,7.32,6.99,6.87,8.02,15.35,7.58,6.79,8.02,11.29,6.77,8.18,7.36
Raw PDF,,,,,,,,,,,,,
