,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,212,237,313,306,317,287,333,336,341,330,417,398,370
Expenses +,164,155,204,200,219,199,215,218,236,236,270,264,255
Operating Profit,48,82,110,107,98,88,118,118,106,94,147,134,115
OPM %,23%,35%,35%,35%,31%,31%,35%,35%,31%,28%,35%,34%,31%
Other Income +,6,6,8,8,9,8,8,9,13,12,11,13,15
Interest,16,14,13,14,14,15,13,14,17,18,18,18,18
Depreciation,22,22,22,23,23,25,27,28,32,34,35,35,34
Profit before tax,16,52,81,78,70,56,85,85,69,53,105,94,77
Tax %,22%,25%,24%,26%,23%,25%,26%,26%,26%,26%,25%,27%,27%
Net Profit +,12,39,62,58,54,42,63,63,51,40,79,69,57
EPS in Rs,1.30,3.76,6.02,5.71,5.28,4.04,6.20,6.12,5.02,3.89,7.77,6.76,5.55
Raw PDF,,,,,,,,,,,,,
