,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,238,199,273,289,365,297,361,509,637,504,572,661,984
Expenses +,198,175,230,248,305,257,312,439,542,437,490,567,817
Operating Profit,40,25,43,41,59,40,49,70,95,67,82,94,168
OPM %,17%,12%,16%,14%,16%,14%,14%,14%,15%,13%,14%,14%,17%
Other Income +,-0,1,1,3,7,8,9,9,29,28,34,25,20
Interest,7,7,10,9,8,11,12,15,15,23,22,27,29
Depreciation,4,5,5,5,5,5,7,6,7,8,9,11,17
Profit before tax,29,13,29,30,54,32,39,58,102,64,85,81,142
Tax %,32%,25%,27%,24%,23%,23%,18%,23%,20%,21%,29%,18%,18%
Net Profit +,20,10,21,23,41,25,32,45,81,51,60,66,116
EPS in Rs,4.30,2.18,4.55,3.93,7.10,4.24,5.56,7.07,12.71,7.94,9.41,10.38,18.15
Raw PDF,,,,,,,,,,,,,
