,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,553,416,462,445,657,555,772,802,"1,154","1,092","1,110","1,135","1,288"
Expenses +,492,381,424,400,586,494,699,725,"1,045",987,998,"1,024","1,164"
Operating Profit,61,35,38,45,72,60,74,77,109,105,111,111,124
OPM %,11%,8%,8%,10%,11%,11%,10%,10%,9%,10%,10%,10%,10%
Other Income +,1,1,1,4,5,4,3,5,4,4,3,4,13
Interest,25,24,23,26,32,28,35,39,52,51,55,50,56
Depreciation,12,13,11,11,11,12,13,13,14,15,15,17,17
Profit before tax,25,-1,6,12,33,23,29,29,48,43,44,48,63
Tax %,-0%,23%,46%,20%,28%,30%,31%,30%,47%,25%,26%,25%,24%
Net Profit +,25,-1,3,10,24,16,20,20,25,32,33,36,48
EPS in Rs,2.18,-0.06,0.26,0.84,2.10,1.44,1.75,1.81,2.23,2.87,2.92,3.21,4.25
Raw PDF,,,,,,,,,,,,,
