,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,326,331,360,538,793,930
Expenses +,230,232,247,388,589,673
Operating Profit,96,99,113,150,204,258
OPM %,30%,30%,31%,28%,26%,28%
Other Income +,7,5,3,5,16,8
Interest,3,4,6,4,6,5
Depreciation,2,2,3,3,7,10
Profit before tax,98,98,107,148,207,250
Tax %,26%,27%,27%,26%,26%,
Net Profit +,72,72,79,109,153,185
EPS in Rs,,,,,27.44,33.24
Dividend Payout %,0%,0%,0%,0%,7%,
