,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,211","1,069","1,581","1,447","1,423","1,124",627,"1,103","1,634","1,612","1,384","1,611","1,737"
Expenses +,"1,129",923,"1,524","1,377","1,502",934,519,880,"1,267","1,099",973,"1,336","1,448"
Operating Profit,82,146,57,71,-78,191,108,222,368,513,411,275,290
OPM %,7%,14%,4%,5%,-6%,17%,17%,20%,22%,32%,30%,17%,17%
Other Income +,80,433,"1,557",580,-46,-88,101,327,446,"1,529",348,135,291
Interest,346,324,411,276,326,279,272,405,522,450,367,364,394
Depreciation,44,47,47,36,21,39,40,100,112,185,154,139,148
Profit before tax,-228,209,"1,156",339,-471,-215,-103,45,180,"1,407",239,-94,38
Tax %,20%,3%,7%,-0%,-0%,1%,19%,4%,5%,3%,-4%,16%,-28%
Net Profit +,-272,202,"1,069",339,-471,-218,-123,43,170,"1,362",250,-108,49
EPS in Rs,-3.55,3.52,17.94,5.97,-7.84,-3.40,-1.74,0.75,2.69,20.30,3.57,-1.49,0.61
Raw PDF,,,,,,,,,,,,,
